Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ABRA","ABRA","Praha 4-Branik","SPO.CZ_ABRAA_NO_40267","NO","14.411800000","50.0420","202.0","m","urban","traffic","01/01/2004 00:00:00","07/07/2016 23:59:59","SAM.CZ_ABRAA_NO_40267","2.0","m","20.0","m","10.0","m","","","Energy Industries","","","0","","","","","Praha","detached","hilly","200.0","","0.05","","","50","15000","SPP.CZ_ABRAA_40267","","","automatic","chemi","","enrivoAC32M","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ABRA","ABRA","Praha 4-Branik","SPO.CZ_ABRAA_NO2_40268","NO2","14.411800000","50.0420","202.0","m","urban","traffic","01/01/2004 00:00:00","07/07/2016 23:59:59","SAM.CZ_ABRAA_NO2_40268","2.0","m","20.0","m","10.0","m","","","Energy Industries","","","0","","","","","Praha","detached","hilly","200.0","","0.05","","","50","15000","SPP.CZ_ABRAA_40268","","","automatic","chemi","","enrivoAC32M","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ABRA","ABRA","Praha 4-Branik","SPO.CZ_ABRAA_PM10_40270","PM10","14.411800000","50.0420","202.0","m","urban","traffic","01/01/2004 00:00:00","07/07/2016 23:59:59","SAM.CZ_ABRAA_PM10_40270","2.0","m","20.0","m","10.0","m","","","Energy Industries","","","0","","","","","Praha","detached","hilly","200.0","","0.05","","","50","15000","SPP.CZ_ABRAA_40270","","","automatic","BETA","","enviroMP101M","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ABRE","ABRE","Praha 6-Brevnov","SPO.CZ_ABREA_NO_1317395","NO","14.380100000","50.0844","300.0","m","urban","background","04/04/2015 00:00:00","","SAM.CZ_ABREA_NO_1317395","2.0","m","","","","","","","Energy Industries","","","0","","","","","","","","","","","","","","","SPP.CZ_ABREA_1317395","","","automatic","chemi","","API200","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ABRE","ABRE","Praha 6-Brevnov","SPO.CZ_ABREA_NO2_1317399","NO2","14.380100000","50.0844","300.0","m","urban","background","04/04/2015 00:00:00","","SAM.CZ_ABREA_NO2_1317399","2.0","m","","","","","","","Energy Industries","","","0","","","","","","","","","","","","","","","SPP.CZ_ABREA_1317399","","","automatic","chemi","","API200","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ABRE","ABRE","Praha 6-Brevnov","SPO.CZ_ABREA_NOx_1317403","NOX as NO2","14.380100000","50.0844","300.0","m","urban","background","04/04/2015 00:00:00","","SAM.CZ_ABREA_NOx_1317403","2.0","m","","","","","","","Energy Industries","","","0","","","","","","","","","","","","","","","SPP.CZ_ABREA_1317403","","","automatic","chemi","","API200","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ABRE","ABRE","Praha 6-Brevnov","SPO.CZ_ABREA_PM10_1317407","PM10","14.380100000","50.0844","300.0","m","urban","background","04/04/2015 00:00:00","","SAM.CZ_ABREA_PM10_1317407","2.0","m","","","","","","","Energy Industries","","","0","","","","","","","","","","","","","","","SPP.CZ_ABREA_1317407","","","automatic","BETA","","enviroMP101M","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ACHO","ACHO","Praha 4-Chodov","SPO.CZ_ACHOA_NO_1410464","NO","14.517500000","50.0302","300.0","m","urban","background","22/04/2016 00:00:00","","SAM.CZ_ACHOA_NO_1410464","2.0","m","","","","","","","Energy Industries","","","0","","","","","","","","","","","","","","","SPP.CZ_ACHOA_1410464","","","automatic","chemi","","API200","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ACHO","ACHO","Praha 4-Chodov","SPO.CZ_ACHOA_NO2_1410468","NO2","14.517500000","50.0302","300.0","m","urban","background","22/04/2016 00:00:00","","SAM.CZ_ACHOA_NO2_1410468","2.0","m","","","","","","","Energy Industries","","","0","","","","","","","","","","","","","","","SPP.CZ_ACHOA_1410468","","","automatic","chemi","","API200","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
"Czechia","CZ.CHMI-Prague-Komorany.AQ","2022","NET-CZ001A","National automated monitoring network (SIS)","UTC","CZ0ACHO","ACHO","Praha 4-Chodov","SPO.CZ_ACHOA_NOx_1410474","NOX as NO2","14.517500000","50.0302","300.0","m","urban","background","22/04/2016 00:00:00","","SAM.CZ_ACHOA_NOx_1410474","2.0","m","","","","","","","Energy Industries","","","0","","","","","","","","","","","","","","","SPP.CZ_ACHOA_1410474","","","automatic","chemi","","API200","","","","","","no","","0.0","ug.m-3","In preparation","","1","hour","1","hour","http://cdr.eionet.europa.eu/cz/eu/aqd/d/envzphyzq/CZ_D_2022.xml","08/09/2023 14:00:04"
